	logFC	AveExpr	t	P.Value	adj.P.Val
AT3G41768.1	-3.11085326035662	14.1114123328176	-28.5588344619774	6.70341104598434e-10	1.65172048173054e-06
ATCG00920.1	-3.16956704962792	12.6478715925745	-23.7427637858632	3.08605937408241e-09	2.53468343257968e-06
ATCG01210.1	-3.16956704962792	12.6478715925745	-23.7427637858632	3.08605937408241e-09	2.53468343257968e-06
ATCG00950.1	-1.84295720007987	16.0093571941323	-16.9886761677376	4.5948872914166e-08	2.2643604572101e-05
ATCG01180.1	-1.84295720007987	16.0093571941323	-16.9886761677376	4.5948872914166e-08	2.2643604572101e-05
AT1G61520.1	-1.70983274625805	12.2050476629499	-12.4823669682403	5.49269434347327e-07	0.000201185129498544
AT3G41979.1	-4.37043263856593	9.88546315410905	-12.3766429894763	6.53198472397872e-07	0.000201185129498544
AT2G01020.1	-4.37043263856593	9.88546315410905	-12.3766429894763	6.53198472397872e-07	0.000201185129498544
AT2G34420.1	-1.41806783689976	13.4994605582203	-11.1025968226384	1.38499985547636e-06	0.000379182182654862
AT5G54770.1	-1.79638990461769	12.4770411828716	-10.6720851271511	1.89560861698505e-06	0.000467077963225116
AT2G05070.1	-1.67672420280449	11.3860268639817	-7.90213842450113	1.8901193149232e-05	0.00396793943152805
AT2G14610.1	2.63417403886127	8.35764691749923	7.89488999971338	1.95450744407565e-05	0.00396793943152805
AT2G34430.1	-1.9278110171798	10.8333033090386	-7.798824203439	2.09347453773801e-05	0.00396793943152805
AT3G26520.1	-1.8656726069563	10.4727579544239	-7.18229492232086	3.83578684153459e-05	0.00675098484110088
AT5G25980.2	7.46361168589854	5.74189624563079	6.50367254687532	0.000102762637019674	0.0168804758410985
AT5G26000.1	1.1547304146466	11.3732081121225	6.15527483988689	0.000114709758189303	0.0176653027611526
ATMG01390.1	-2.5106059331591	8.7706299313361	-5.86258330377294	0.000165652592302426	0.0231353775887801
AT2G25510.1	7.27387658307209	5.67809158472014	6.03520404758351	0.000173367459627018	0.0231353775887801
AT3G22231.1	2.75207089537067	7.96470272947209	5.80962794020209	0.000178397797965431	0.0231353775887801
AT1G56510.1	1.7522712394815	8.85559137820567	5.62758365805563	0.000213613229700072	0.0263171498990489
AT1G08380.1	-1.32652255737983	11.3348501115009	-5.48219688670957	0.000253511880843381	0.0297453940189567
AT3G15450.1	-2.08187854943875	9.36450251283276	-5.2639909929257	0.000336951978877816	0.0377386216343154
AT2G05100.1	-1.48424826485392	10.6498918135163	-5.14055617441453	0.000388523891106126	0.0416227333776302
AT3G15353.1	-1.57839100440282	10.0401519540481	-4.97374088076887	0.000481771819231229	0.0490501320473933
AT1G55670.1	-1.15458058304298	11.5158049181715	-4.9461694846327	0.000497667735870467	0.0490501320473933
AT4G28750.1	-1.43401126859965	10.8544303842567	-4.5512861877398	0.000841677136131073	0.0797650947471909
AT3G54890.1	-1.08117989795611	11.8045577018578	-4.45842056267429	0.000953359531601874	0.0826901919897429
AT3G47470.1	-0.95097770424222	12.172101829286	-4.45155372463162	0.000962257918813903	0.0826901919897429
AT5G58120.1	2.23838305113471	6.89452521941927	4.46203695417993	0.000973220603775383	0.0826901919897429
AT5G54710.1	1.71687520592851	7.64359818431	4.37010183236313	0.00108410330234577	0.0845413249519377
AT1G54410.1	-1.62478863840317	10.037412196816	-4.36434607918157	0.00109053421876538	0.0845413249519377
AT5G20700.1	1.85015482317098	7.60492788848444	4.36362538350343	0.0010979392850901	0.0845413249519377
AT3G26740.1	-1.34781821108013	9.75236171875695	-4.26030062280505	0.00125549882008372	0.0913051775358701
AT1G20340.1	-0.959352631413237	12.6300714381981	-4.25683700268486	0.00125989287184236	0.0913051775358701
ATCG00960.1	-3.15247828520443	8.19902843523102	-4.272936566078	0.0013384429693931	0.0916089854606831
