	logFC	AveExpr	t	P.Value	adj.P.Val
AT3G41768.1	-3.11085326035662	14.1114123328176	-28.5588344619774	6.70341104598434e-10	1.65172048173054e-06
ATCG00920.1	-3.16956704962792	12.6478715925745	-23.7427637858632	3.08605937408241e-09	2.53468343257968e-06
ATCG01210.1	-3.16956704962792	12.6478715925745	-23.7427637858632	3.08605937408241e-09	2.53468343257968e-06
ATCG00950.1	-1.84295720007987	16.0093571941323	-16.9886761677376	4.5948872914166e-08	2.2643604572101e-05
ATCG01180.1	-1.84295720007987	16.0093571941323	-16.9886761677376	4.5948872914166e-08	2.2643604572101e-05
AT1G61520.1	-1.70983274625805	12.2050476629499	-12.4823669682403	5.49269434347327e-07	0.000201185129498544
AT3G41979.1	-4.37043263856593	9.88546315410905	-12.3766429894763	6.53198472397872e-07	0.000201185129498544
AT2G01020.1	-4.37043263856593	9.88546315410905	-12.3766429894763	6.53198472397872e-07	0.000201185129498544
AT2G34420.1	-1.41806783689976	13.4994605582203	-11.1025968226384	1.38499985547636e-06	0.000379182182654862
AT5G54770.1	-1.79638990461769	12.4770411828716	-10.6720851271511	1.89560861698505e-06	0.000467077963225116
AT2G05070.1	-1.67672420280449	11.3860268639817	-7.90213842450113	1.8901193149232e-05	0.00396793943152805
AT2G14610.1	2.63417403886127	8.35764691749923	7.89488999971338	1.95450744407565e-05	0.00396793943152805
AT2G34430.1	-1.9278110171798	10.8333033090386	-7.798824203439	2.09347453773801e-05	0.00396793943152805
AT3G26520.1	-1.8656726069563	10.4727579544239	-7.18229492232086	3.83578684153459e-05	0.00675098484110088
