	AveExpr	Coef	t	P.value	P.value.adj	Results
ATCG00020.1	8.06923	-3.210081	-2.45936	0.02256922	0.566125564	0
ATCG00270.1	6.91761	-1.142411	-0.97858	0.18539163	0.997399338	0
ATCG00280.1	8.05256	-0.65718	-0.16242	0.44866821	0.99999982	0
ATCG00340.1	6.81981	-1.428034	-1.19217	0.14334427	0.953749755	0
ATCG00350.1	7.1335	-0.379057	0	0.71126693	0.99999982	0
ATCG00420.1	7.45188	0.048638	0	0.97447814	0.99999982	0
ATCG00430.1	8.24235	-0.477109	0	0.63298745	0.99999982	0
ATCG00440.1	6.83781	-0.531774	0	0.56515986	0.99999982	0
ATCG00470.1	7.95291	-2.888649	-3.82443	0.0025176	0.144264231	0
ATCG00480.1	9.10278	-1.528684	-3.06947	0.00735635	0.272567338	0
ATCG00490.1	7.381	-2.186658	-1.98915	0.04432888	0.787304933	0
ATCG00680.1	6.61771	-1.444689	-0.81576	0.26304738	0.99999982	0
ATCG00780.1	7.78638	0.828621	0.6465	0.27027008	0.99999982	0
ATCG00790.1	7.52779	0.491922	0	0.61996987	0.99999982	0
ATCG00800.1	7.53998	-0.034752	0	0.97437907	0.99999982	0
ATCG00810.1	6.33765	0.219748	0	0.82908456	0.99999982	0
ATCG00820.1	6.46455	-0.517348	0	0.63337461	0.99999982	0
ATCG00830.1	7.39624	0.088848	0	0.95073218	0.99999982	0
ATCG00920.1	12.64787	-3.169567	-23.74276	0	2.535e-06	-1
ATCG00950.1	16.00936	-1.842957	-16.98868	5e-08	2.2644e-05	-1
ATCG00960.1	8.19903	-3.152478	-4.27294	0.00133844	0.091608985	0
ATCG01130.1	7.64735	0.941232	0.81531	0.22259849	0.99999982	0
ATCG01170.1	8.19903	-3.152478	-4.27294	0.00133844	0.091608985	0
ATCG01180.1	16.00936	-1.842957	-16.98868	5e-08	2.2644e-05	-1
ATCG01210.1	12.64787	-3.169567	-23.74276	0	2.535e-06	-1
ATCG01310.1	7.39624	0.088848	0	0.95073218	0.99999982	0
AT5G01410.1	7.98803	0.205012	0	0.88812429	0.99999982	0
AT5G01530.1	12.2927	-0.626637	-0.40005	0.34958409	0.99999982	0
AT5G01750.2	7.75847	-1.107419	-1.25579	0.12325401	0.940241128	0
AT5G01810.1	5.43026	-0.233918	0	0.91022525	0.99999982	0
AT5G01920.1	7.00567	-0.557448	0	0.5507356	0.99999982	0
AT5G02160.1	8.56802	-1.287904	-2.42677	0.02018506	0.547696351	0
AT5G02240.1	7.20755	-0.270926	0	0.81205441	0.99999982	0
AT5G02380.1	9.74864	-0.661687	-0.32596	0.37655848	0.99999982	0
AT5G02450.1	6.80546	-0.477027	0	0.61432542	0.99999982	0
AT5G02480.1	6.80473	0.27996	0	0.78078493	0.99999982	0
