	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT3G41768.1	-3.11085326035662	14.1114123328176	-35.1726783745981	2.29112648275413e-10	5.64533565350617e-07	14.593147754328
ATCG00920.1	-3.16956704962792	12.6478715925745	-29.1163620348042	1.09589041493002e-09	9.0009132746252e-07	12.7028799960728
ATCG01210.1	-3.16956704962792	12.6478715925745	-29.1163620348042	1.09589041493002e-09	9.0009132746252e-07	12.7028799960728
ATCG00950.1	-1.84295720007987	16.0093571941323	-24.8883425972445	4.003504147967e-09	1.97292684411814e-06	11.2223907042995
ATCG01180.1	-1.84295720007987	16.0093571941323	-24.8883425972445	4.003504147967e-09	1.97292684411814e-06	11.2223907042995
AT1G61520.1	-1.70983274625805	12.2050476629499	-18.9735303940948	3.71630496937578e-08	1.35133535952016e-05	9.62421142070025
AT2G34420.1	-1.41806783689976	13.4994605582203	-18.8982530498083	3.83902090772772e-08	1.35133535952016e-05	9.47402297859484
AT5G54770.1	-1.79638990461769	12.4770411828716	-15.8253197195068	1.62707380077883e-07	5.01138730639881e-05	8.12981256885146
AT3G41979.1	-4.37043263856593	9.88546315410905	-14.2891853607071	3.71096143073675e-07	9.14380896533535e-05	6.25222055318288
AT2G01020.1	-4.37043263856593	9.88546315410905	-14.2891853607071	3.71096143073675e-07	9.14380896533535e-05	6.25222055318288
AT5G26000.1	1.1547304146466	11.3732081121225	12.4746987227793	1.10059450831895e-06	0.000246533169863444	6.13528059292839
AT2G05070.1	-1.67672420280449	11.3860268639817	-12.1360794438831	1.36973866149149e-06	0.000281253005159585	6.03237713628584
AT3G47470.1	-0.95097770424222	12.172101829286	-11.5659904305518	2.00509625525715e-06	0.00038004285945797	5.47667309131832
AT2G34430.1	-1.9278110171798	10.8333033090386	-11.1960947464779	2.59100543012765e-06	0.000456016955702467	5.42027117253932
AT1G29910.1	-0.852107939538582	13.4126698305304	-11.0765109192011	2.81943052212653e-06	0.000463138453767985	4.7860067507126
AT1G20340.1	-0.959352631413237	12.6300714381981	-10.9078937857518	3.18053493154004e-06	0.000489802379457167	4.88104249359843
AT3G26520.1	-1.8656726069563	10.4727579544239	-10.4627978075743	4.40716040264023e-06	0.000638779013653266	4.89728402495657
AT2G14610.1	2.63417403886127	8.35764691749923	10.1485443985864	5.58959625586644e-06	0.000765153620803051	4.61774074964271
AT1G55670.1	-1.15458058304298	11.5158049181715	-10.0255792865967	6.14505527680085e-06	0.000796916642212489	4.42659715586628
AT1G08380.1	-1.32652255737983	11.3348501115009	-9.8067011146543	7.29209719130686e-06	0.000898386373969005	4.28929613951193
AT3G54890.1	-1.08117989795611	11.8045577018578	-9.71419929220102	7.84680076821948e-06	0.000920691290137753	4.10640655958111
AT5G54270.1	-1.04883520864394	11.3422483008769	-9.1465222519694	1.24719623516015e-05	0.00139685978337936	3.70024349997096
AT1G42970.1	0.69257770017461	12.0318391249062	9.0093430453222	1.40003168980855e-05	0.00149986003638621	3.27841778906366
AT2G05100.1	-1.48424826485392	10.6498918135163	-8.48435712714393	2.20958297802137e-05	0.00216368497070924	3.24708412873347
AT1G56510.1	1.7522712394815	8.85559137820567	8.44768197508672	2.28310914117046e-05	0.00216368497070924	3.27663703257528
AT4G10340.1	-0.904649182313959	12.4360526391171	-8.09585238174885	3.14414885566896e-05	0.00286932695569197	2.44138248675248
AT3G15353.1	-1.57839100440282	10.0401519540481	-7.90243871133356	3.76680523507809e-05	0.00331478860686872	2.76637495859181
AT3G14420.5	0.741420919893645	11.1584396157125	7.81671213922287	4.08544836966846e-05	0.00347122233891831	2.33471901455328
AT4G28750.1	-1.43401126859965	10.8544303842567	-7.68695029868394	4.6259728983224e-05	0.00379946574048879	2.44221794630121
ATMG01390.1	-2.5106059331591	8.7706299313361	-7.64349005540316	4.82431281498413e-05	0.00383455057294222	2.48778652581158
AT5G02500.1	1.1059944864373	10.9263830536412	7.60643396387757	5.00086179344428e-05	0.0038506635809521	2.15359323409556
AT1G31330.1	-0.790545519468086	11.8161548615951	-7.55514605125918	5.25710466753354e-05	0.00391573194253723	2.03134416213175
AT3G26740.1	-1.34781821108013	9.75236171875695	-7.52712562299709	5.40320154408547e-05	0.00391573194253723	2.41570972667518
AT3G22231.1	2.75207089537067	7.96470272947209	7.37780722304306	6.26137569845519e-05	0.00437624487600836	2.30554745402282
AT4G02520.1	1.14140033724866	9.83269811504628	7.35678209502156	6.39386426689533e-05	0.00437624487600836	2.12108420058734
AT3G15450.1	-2.08187854943875	9.36450251283276	-7.32104511939689	6.62621612557273e-05	0.00441270176578681	2.25048216252873
AT5G25980.2	7.46361168589854	5.74189624563079	7.056746915763	8.66410220484261e-05	0.0054739353417262	-0.762007742545737
AT1G60950.1	-1.04072398275091	11.0923319120244	-6.98791023250892	9.30227289427943e-05	0.00573020010287613	1.61423985769962
AT1G54410.1	-1.62478863840317	10.037412196816	-6.8195438319345	0.000110927231172475	0.00666645603924339	1.66684018272655
AT4G02770.1	-0.810813278601026	11.3040935608672	-6.63420534924068	0.000135144627392517	0.0077915403120121	1.14291495945196
AT5G54710.1	1.71687520592851	7.64359818431	6.62853190784933	0.000135972497328133	0.0077915403120121	1.55805832448935
AT2G25510.1	7.27387658307209	5.67809158472014	6.56299794784484	0.00014595055722901	0.00817323120482453	-0.924882495407058
AT4G12800.1	-0.902218573093066	11.696407126231	-6.53695390157997	0.000150137343738718	0.00822085366604889	0.941869308698724
AT3G09390.1	-1.47807735120963	9.26014994389081	-6.48916358528355	0.000158167824928111	0.00847229392658402	1.38165236307538
AT5G20700.1	1.85015482317098	7.60492788848444	6.38115044372661	0.000178114478435851	0.00899856336139136	1.29825272894364
AT5G11740.1	-1.48117132154502	9.21904534649669	-6.37692681911914	0.000178948703209487	0.00899856336139136	1.26173908864937
