	18	19	20	21	22	23
ATCG00020.1	39	21	31	31	5	1
ATCG00270.1	7	6	8.57969	9	2	5
ATCG00280.1	18	19	8.42031	21	12	7
ATCG00340.1	6	7	9	9	2	3
ATCG00350.1	7	11	6	7	7	4
ATCG00420.1	8	7	8	12	10	7
ATCG00430.1	20	16	18	15	9	15
ATCG00440.1	5	9	5	7	5	3
ATCG00470.1	20	27	26	25	2	4
ATCG00480.1	32	47	51	35	14	12
ATCG00490.1	11	14	17	16	5	1
ATCG00680.1	10	4	7	7	2	2
ATCG00780.1	7	17	8	7	20	12
ATCG00790.1	9	9	9	6	12	10
ATCG00800.1	12	14	5	9	12	6
ATCG00810.1	2	3	6	4	4	4
ATCG00820.1	4	8	2	7	3	3
ATCG00830.1	10.5	7	8.5	7	7.5	9
ATCG00920.1	666.488	730	694.465	704.49	77.5	69
ATCG00950.1	5197	5377.5	5394.5	5151.5	1397.5	1404
ATCG00960.1	30	35	33.5	26.5	2.5	3.5
ATCG01130.1	10	4.91302	6	13.5108	22	9.82604
ATCG01170.1	30	35	33.5	26.5	2.5	3.5
ATCG01180.1	5197	5377.5	5394.5	5151.5	1397.5	1404
ATCG01210.1	666.488	730	694.465	704.49	77.5	69
ATCG01310.1	10.5	7	8.5	7	7.5	9
AT5G01410.1	16	14	9	11	16	11
AT5G01530.1	282	322	318	291	180	193
AT5G01750.2	17	13.7228	9.36853	17.9866	5	7.14399
AT5G01810.1	0.00093157	0.000698015	9	10	0.000806521	9
AT5G01920.1	5	6	14	6	4	5
AT5G02160.1	23	24	25	34	9	11
AT5G02240.1	7	7	6	12	6	6
AT5G02380.1	39.8613	51	58	61	27	36
AT5G02450.1	7	5	5.56496	6.48524	3	5.42947
AT5G02480.1	2	5	8	7	5	7
AT5G02500.1	89	80.8191	81	65	159.859	160.987
AT5G02790.1	8	7	12	10	8	6
AT5G02940.1	10	9	7.78432	6	7	8
AT5G02960.1	13	9	17	12	13	11
AT5G03240.1	21.8651	21.3975	23.8004	25	19.6946	21.9277
AT5G03290.1	4	10	1	4	0	4
AT5G03300.1	7	4	2	0	3.4021	4
AT5G03880.1	13	7	14	15	7	8
AT5G03940.1	16	3	8	9	15	8
AT5G04140.2	2.3168	114.805	20.6985	7.0002	101.807	26.5221
AT5G04290.1	1	6	0	4	4	4
AT5G04440.1	1	4	2	6	3	7
AT5G04550.1	5	2	2	5	8	3
AT5G04560.2	3	4	4	1	6	6
AT5G04590.1	17	15	9	23	23	25
AT5G04720.1	4	7	6	6	11	10
AT5G04810.1	8	6	9	7	4	3
AT5G04830.1	1	0	1	1	5	7
AT5G04870.1	3	3	1	3	4	4
AT5G04930.1	4	3	6	3	8	11
AT5G05010.1	0	9	0	3	12	0
AT5G05170.1	25	13	15	16	27	28
AT5G05200.1	4	7	14.8591	9	12	10
AT5G05250.1	6	5	0	1	2	4
AT5G05440.1	3	7	4	8	1	4
AT5G05580.1	10.341	8.21895	7.46754	5.2908	5.38325	8
AT5G05690.1	0	5.45483	13.7164	0	0	0
AT5G05740.1	0	2	2	5	8	5
AT5G06130.2	1	3	3	7	4	3
AT5G06290.1	13	20	12.1779	16	10	12
AT5G06320.1	22	26.9545	20.9411	30	20	19
AT5G06390.1	0	3	3	2	4	4
AT5G06700.1	5	10	11	5	4	3
AT5G07020.1	11	14	15	10	11	8
AT5G07090.1	3.55597	6.5426	6	13.6475	8.69951	4
AT5G07350.2	3.53245	6	4.69482	7	7	3
AT5G07740.1	8	4	6	6	3	7
AT5G08050.1	11	4	5	8	1	1
AT5G08260.1	0	4	1	3	6	5
AT5G08280.1	9	10	26	19	16.9319	6
AT5G08290.1	4	7	5	3	8	3
AT5G08410.1	5	2	2	3	6	3
AT5G08520.1	5	3	7	3	2	2
AT5G08530.1	5	7	9	7	17	12
AT5G08610.1	5.75939	2	7	2	2	0
AT5G08650.1	3	9	8	12	9	7
AT5G08670.1	12.2581	13.8293	16.9025	15.0737	26.5971	24.3173
AT5G08680.1	5.7069	2.54903	3.98323	5.2108	16.7144	17.7284
AT5G08690.1	18.0351	18.6217	12.1143	14.7155	10.6885	14.9543
AT5G08760.1	3	5	2	3	4	4
AT5G08790.1	6	7	3	6	4	3
AT5G09600.1	0.656204	0.348499	3.99314	6.9891	3.99227	1.12341
AT5G09650.1	9	14	8	8	13	9
AT5G09810.1	9.25646	13	8	12	12	4
AT5G09870.1	9	5	9	4	6	8
AT5G09880.1	3	6	3	3	5	1
AT5G10180.1	7	2	2	2	11	9
AT5G10360.1	8	9	6.78281	6.78002	12	0
AT5G10380.1	1	5	4	5	8	7
AT5G10540.1	5.46057	2	2.25184	5	1	9
AT5G10550.1	4.53943	3	4.74816	10	7	0
AT5G10760.1	2	3	3	4	6	6
AT5G10860.1	13	5	7	8	3	8
AT5G11000.1	4	1	8	2	5	3
AT5G11070.1	3	10	3	7	5	3
AT5G11450.1	7	4	3	11	4	4
AT5G11480.1	6	6	5	6	3	2
AT5G11500.1	0	8	6	5	6.7321	0
AT5G11560.1	1	4	2	6	10	8
AT5G11670.1	9	3	10	11	11	13
AT5G11740.1	35	46	47	47	16	13
AT5G11770.1	13	9	14	6	9	10
AT5G12150.1	6	8	8	7	8	7
AT5G12250.1	4.64522	6	2	4	5	4
AT5G12470.1	8	7	5	6	4	8
AT5G12860.1	24	0	23.7753	23.7764	23.6715	22.701
AT5G12890.1	2	1	1	4	5	4
AT5G12950.1	4	5	6	0	3	3.95989
AT5G13030.1	8	5	2	6	8	4
AT5G13190.1	4	6	7	1	4	4
AT5G13440.1	2.65077	2.48348	5.82456	7.30424	4	2.96036
AT5G13510.1	13	18	14	8	10	15
AT5G13630.1	106.967	52.1132	104.968	113	66.6848	134.819
AT5G13650.2	11.6592	30	12.5347	13.7479	19.2902	20.3387
AT5G13770.1	7	4	5	5	7	2
AT5G14040.1	8	8	4	11	15	7
AT5G14060.1	5.40693	2.67602	5	9	5.36305	2.71285
AT5G14120.1	22	26	17	16	42	31
AT5G14320.1	16	18	20	19	15	10
AT5G14740.1	215.399	187.535	168.501	234.497	213.99	197.284
AT5G14780.1	14	19	19	14	13	14
AT5G14910.1	7	5	6	11	4	9
AT5G14920.1	4	7	4	11	2	2
AT5G14970.1	6	6	3	5	4	2
AT5G15090.1	7	8	12	1	1	4
AT5G15200.1	14	15	11	15	16	9
AT5G15350.1	6	6	5	15	11	11
