	18	19	20	21	22	23
ATCG00010.1	1	1	2	3	0	0
ATCG00020.1	39	21	31	31	5	1
ATCG00030.1	0	0	0	0	0	0
ATCG00040.1	0	1	0	2	0	1
ATCG00050.1	0	0	0	0	0	0
ATCG00060.1	0	0	0	0	0	0
ATCG00065.1	0	0	0	0	0	0
ATCG00070.1	0	1	0	3	0	0
ATCG00080.1	1	1	1	1	0	0
ATCG00090.1	0	1	1	0	1	0
ATCG00100.1	0	0	0	0	0	0
ATCG00110.1	0	0	0	0	0	0
ATCG00120.1	3	1	1	1	2	2
ATCG00130.1	0	1	0	3	0	0
ATCG00140.1	1	1	0	1	0	0
ATCG00150.1	0	0	0	1	1	0
ATCG00160.1	0	1	0	0.230394	0	0
ATCG00170.1	0	1	1	0	0	0
ATCG00180.1	1	1	2	1	2	0
ATCG00190.1	1	1	0	2	1	2
ATCG00200.1	0	0	0	0	0	0
ATCG00210.1	0	0	0	0	0	0
ATCG00220.1	4	4	6	5	3	3
ATCG00230.1	0	0	0	0	0	0
ATCG00240.1	0	0	0	0	0	0
ATCG00250.1	0	0	1	0.389894	0	0
ATCG00260.1	1	0	0	0	0	0
ATCG00270.1	7	6	8.57969	9	2	5
ATCG00280.1	18	19	8.42031	21	12	7
ATCG00290.1	0	0	0	1	0	0
ATCG00300.1	1	1	1	0	0	0
ATCG00310.1	0	0	0	0	0	0
ATCG00320.1	1	0	0	0	0	0
ATCG00330.1	4	1	3	4	3	2
ATCG00340.1	6	7	9	9	2	3
ATCG00350.1	7	11	6	7	7	4
ATCG00360.1	0	0	0	0	1	0
ATCG00370.1	0	0	0	0	0	0
ATCG00380.1	2	1	1	2	0	0
ATCG00390.1	2	0	1	0	0	0
ATCG00400.1	1	0	0	0	0	0
ATCG00410.1	0	0	0	0	1	0
ATCG00420.1	8	7	8	12	10	7
ATCG00430.1	20	16	18	15	9	15
ATCG00440.1	5	9	5	7	5	3
ATCG00450.1	0	0	0	0	0	0
ATCG00460.1	0	0	0	0	0	0
ATCG00470.1	20	27	26	25	2	4
ATCG00480.1	32	47	51	35	14	12
ATCG00490.1	11	14	17	16	5	1
ATCG00500.1	0	0	0	0	0	0
ATCG00510.1	0	0	0	0	0	0
ATCG00520.1	0	0	0	0	0	0
ATCG00530.1	3	0	1	0	1	0
ATCG00540.1	1	0	1	0	0	1
ATCG00550.1	0	0	0	1	0	0
ATCG00560.1	0	0	0	0	0	0
ATCG00570.1	0	1	0	0	0	0
ATCG00580.1	0	0	0	0	1	0
ATCG00590.1	0	0	0	0	0	0
ATCG00600.1	0	0	0	0	0	0
ATCG00610.1	0	0	0	0	0	0
ATCG00620.1	0	0	0	0	0	0
ATCG00630.1	5	3	2	4	0	1
ATCG00640.1	0	0	0	0	0	0
ATCG00650.1	0	1	0	1	0	1
ATCG00660.1	0	0	0	0	1	0
ATCG00670.1	1	3	0	2	1	2
ATCG00680.1	10	4	7	7	2	2
ATCG00690.1	1	0	0	0	0	0
ATCG00700.1	0	1	0	0	1	0
ATCG00710.1	0	0	1	1	0	1
ATCG00720.1	2	0	1	1	0	1
ATCG00730.1	2	2	0	1	2	1
ATCG00740.1	3	8	4	2	3	1
ATCG00750.1	2	0	3	3	4	2
ATCG00760.1	1	1	0	0	0	1
ATCG00770.1	2	4	0	1	0	0
ATCG00780.1	7	17	8	7	20	12
ATCG00790.1	9	9	9	6	12	10
ATCG00800.1	12	14	5	9	12	6
ATCG00810.1	2	3	6	4	4	4
ATCG00820.1	4	8	2	7	3	3
ATCG00830.1	10.5	7	8.5	7	7.5	9
ATCG00840.1	0.5	1.5	1	0.5	1	0
ATCG00850.1	0	0	0	0	0	0
ATCG00860.1	0.5	0	0	1	1.5	0.5
ATCG00870.1	0	0	0	0	0	0
ATCG00880.1	0	0	0	0	0	0
ATCG00890.1	0.5	0.5	0	1	1	0.5
ATCG00900.1	0.5	3	1	3.5	4	3
ATCG00905.1	1.5	4.5	2	0	5	2
ATCG00910.1	0	0	0	0	0	0
ATCG00920.1	666.488	730	694.465	704.49	77.5	69
ATCG00930.1	0	0	0	0	0	0
ATCG00940.1	0	0	0	0	0	0
ATCG00950.1	5197	5377.5	5394.5	5151.5	1397.5	1404
ATCG00960.1	30	35	33.5	26.5	2.5	3.5
ATCG00970.1	3	3.5	1	3	4	3.5
ATCG00980.1	0	0	0	0	0	0
ATCG00990.1	0	0	0	0	0	0
ATCG01000.1	0	2.08698	0	0.489189	0	2.17396
ATCG01010.1	1	2	3	0	1	0
ATCG01020.1	4	3	5	3	0	0
ATCG01030.1	0	0	0	0	0	0
ATCG01040.1	0	0	0	0	0	0
ATCG01050.1	1	0	2	1	0	1
ATCG01060.1	0	0	0	0	0	0
ATCG01070.1	1	0	0	0	0	0
ATCG01080.1	0	0	0	0	0	0
ATCG01090.1	0	1	0	0	0	0
ATCG01100.1	0	0	0	0	1	1
ATCG01110.1	0	0	0	1	2	1
ATCG01120.1	1	0	0	0	1	0
ATCG01130.1	10	4.91302	6	13.5108	22	9.82604
ATCG01140.1	0	0	0	0	0	0
ATCG01150.1	0	0	0	0	0	0
ATCG01160.1	3	3.5	1	3	4	3.5
ATCG01170.1	30	35	33.5	26.5	2.5	3.5
ATCG01180.1	5197	5377.5	5394.5	5151.5	1397.5	1404
ATCG01190.1	0	0	0	0	0	0
ATCG01200.1	0	0	0	0	0	0
ATCG01210.1	666.488	730	694.465	704.49	77.5	69
ATCG01220.1	0	0	0	0	0	0
ATCG01230.1	1.5	4.5	2	0	5	2
ATCG01240.1	0.5	3	1	3.5	4	3
ATCG01250.1	0.5	0.5	0	1	1	0.5
ATCG01260.1	0	0	0	0	0	0
ATCG01270.1	0	0	0	0	0	0
ATCG01280.1	0.5	0	0	1	1.5	0.5
ATCG01290.1	0	0	0	0	0	0
ATCG01300.1	0.5	1.5	1	0.5	1	0
ATCG01310.1	10.5	7	8.5	7	7.5	9
AT5G01010.2	0	0	0	0	0	0
AT5G01015.1	0	0	2	1	0	0
AT5G01020.1	3	3	1	1	0	3
AT5G01030.1	1	1	1	1	0	1
AT5G01040.1	0	2	0	0	0	0
AT5G01050.1	0	0	0	0	0	0
AT5G01060.1	0	0	0	0	0	0
AT5G01070.2	0	0	0	0	0	0
AT5G01075.1	0	0	0	0	1	0
AT5G01080.1	0	0	0	0	0	0
AT5G01090.1	2	4	0	1	0	0
AT5G01100.1	1	1	1	0	2	2
AT5G01110.1	0	0	0	0	0	0
AT5G01120.1	0	0	0	0	0	0
AT5G01130.1	0	0	0	0	0	0
AT5G01140.1	0	0	0	0	0	0
AT5G01150.1	0	0	0	0	0	0
AT5G01160.1	0	0	0	0	2	1
AT5G01170.1	0	0	0	1	0	0
AT5G01175.1	0	0	0	0	1	0
AT5G01180.1	0	0	0	0	0	0
AT5G01185.1	0	0	0	0	0	0
AT5G01190.1	0	0	0	0	0	0
AT5G01200.1	0	0	0	0	0	0
AT5G01210.1	0	0	2	0	0	0
AT5G01215.1	0	2	0	0	4	0
AT5G01220.1	3	4	1	2	2	0
AT5G01225.1	0	0	0	0	0	0
AT5G01230.1	0	0	0	0	1	0
AT5G01240.1	2	4	0	0	0	0
AT5G01250.1	0	0	0	0	0	0
AT5G01260.2	0	1	1	0	1	0
AT5G01270.2	4	1	1	1	1	0
AT5G01280.1	0	0	0	0	0	0
AT5G01290.1	0	1	1	0	1	0
AT5G01300.1	0	0	0	0	0	0
AT5G01310.1	0	0	0	0	0	0
AT5G01320.1	0	0	0	0	0	0
AT5G01330.1	0	0	0	0	0	0
AT5G01335.1	0	0	0	0	0	0
AT5G01340.1	0	0	0	1	0	0
AT5G01350.1	4	0	2	1	7	2
AT5G01360.1	0	0	0	0	0	0
AT5G01365.1	0	0	0	0	0	0
AT5G01370.1	0	0	0	1	0	0
AT5G01380.1	0	0	0	0	0	0
AT5G01390.1	0	0	0	0	0	0
AT5G01400.1	2	2	2	2	0	2
AT5G01410.1	16	14	9	11	16	11
