target_id	length	eff_length	est_counts	tpm
ATCG00010.1	73	37.9801	1	452.862
ATCG00020.1	1062	1018.12	39	658.853
ATCG00030.1	72	37.3128	0	0
ATCG00040.1	1581	1537.12	0	0
ATCG00050.1	240	196.118	0	0
ATCG00060.1	72	37.3128	0	0
ATCG00065.1	114	71.2511	0	0
ATCG00070.1	186	142.12	0	0
ATCG00080.1	111	68.4893	1	251.131
ATCG00090.1	88	48.8734	0	0
ATCG00100.1	72	37.3128	0	0
ATCG00110.1	72	37.3128	0	0
ATCG00120.1	1524	1480.12	3	34.8616
ATCG00130.1	555	511.118	0	0
ATCG00140.1	246	202.118	1	85.0975
ATCG00150.1	750	706.118	0	0
ATCG00160.1	711	667.118	0	0
ATCG00170.1	4131	4087.12	0	0
ATCG00180.1	2043	1999.12	1	8.60367
ATCG00190.1	3219	3175.12	1	5.41704
ATCG00200.1	71	36.6528	0	0
ATCG00210.1	90	50.4487	0	0
ATCG00220.1	105	63.0857	4	1090.57
ATCG00230.1	74	38.6548	0	0
ATCG00240.1	84	45.8076	0	0
ATCG00250.1	73	37.9801	0	0
ATCG00260.1	72	37.3128	1	460.961
ATCG00270.1	1062	1018.12	7	118.256
ATCG00280.1	1422	1378.12	18	224.651
ATCG00290.1	92	52.0515	0	0
ATCG00300.1	189	145.119	1	118.522
ATCG00310.1	71	36.6528	0	0
ATCG00320.1	74	38.6548	1	444.958
ATCG00330.1	303	259.118	4	265.512
ATCG00340.1	2205	2161.12	6	47.7524
ATCG00350.1	2253	2209.12	7	54.5006
ATCG00360.1	381	337.118	0	0
ATCG00370.1	87	48.0962	0	0
ATCG00380.1	606	562.118	2	61.1962
ATCG00390.1	73	37.9801	2	905.724
ATCG00400.1	85	46.5633	1	369.384
ATCG00410.1	73	37.9801	0	0
ATCG00420.1	477	433.118	8	317.692
ATCG00430.1	678	634.118	20	542.478
ATCG00440.1	363	319.118	5	269.489
ATCG00450.1	74	38.6548	0	0
ATCG00460.1	73	37.9801	0	0
ATCG00470.1	399	355.118	20	968.678
ATCG00480.1	1497	1453.12	32	378.766
ATCG00490.1	1440	1396.12	11	135.517
ATCG00500.1	1467	1423.12	0	0
ATCG00510.1	114	71.2511	0	0
ATCG00520.1	555	511.118	0	0
ATCG00530.1	690	646.118	3	79.8604
ATCG00540.1	963	919.118	1	18.7133
ATCG00550.1	123	79.7311	0	0
ATCG00560.1	117	74.0479	0	0
ATCG00570.1	120	76.8758	0	0
ATCG00580.1	252	208.118	0	0
ATCG00590.1	96	55.3369	0	0
ATCG00600.1	114	71.2511	0	0
ATCG00610.1	74	38.6548	0	0
ATCG00620.1	74	38.6548	0	0
ATCG00630.1	135	91.3627	5	941.29
ATCG00640.1	201	157.118	0	0
ATCG00650.1	306	262.118	0	0
ATCG00660.1	354	310.118	0	0
ATCG00670.1	591	547.118	1	31.437
ATCG00680.1	1527	1483.12	10	115.97
ATCG00690.1	102	60.4515	1	284.521
ATCG00700.1	132	88.4292	0	0
ATCG00710.1	222	178.118	0	0
ATCG00720.1	648	604.118	2	56.9417
ATCG00730.1	483	439.118	2	78.3377
ATCG00740.1	990	946.118	3	54.5379
ATCG00750.1	417	373.118	2	92.1947
ATCG00760.1	114	71.2511	1	241.396
ATCG00770.1	405	361.118	2	95.2583
ATCG00780.1	369	325.118	7	370.322
ATCG00790.1	408	364.118	9	425.131
ATCG00800.1	657	613.118	12	336.635
ATCG00810.1	483	439.118	2	78.3377
ATCG00820.1	279	235.118	4	292.615
ATCG00830.1	825	781.118	10.5	231.204
ATCG00840.1	282	238.118	0.5	36.116
ATCG00850.1	74	38.6548	0	0
ATCG00860.1	6885	6841.12	0.5	1.25709
ATCG00870.1	234	190.118	0	0
ATCG00880.1	81	43.5844	0	0
ATCG00890.1	1170	1126.12	0.5	7.63674
ATCG00900.1	468	424.118	0.5	20.2771
ATCG00905.1	258	214.118	1.5	120.492
ATCG00910.1	72	37.3128	0	0
ATCG00920.1	1491	1447.12	666.488	7921.56
ATCG00930.1	72	37.3128	0	0
ATCG00940.1	73	37.9801	0	0
ATCG00950.1	2810	2766.12	5197	32315
ATCG00960.1	103	61.3242	30	8414.18
ATCG00970.1	121	77.8247	3	663.019
ATCG00980.1	74	38.6548	0	0
ATCG00990.1	72	37.3128	0	0
ATCG01000.1	1032	988.118	0	0
ATCG01010.1	2241	2197.12	1	7.82832
ATCG01020.1	159	115.146	4	597.496
ATCG01030.1	80	42.8579	0	0
ATCG01040.1	987	943.118	0	0
ATCG01050.1	1521	1477.12	1	11.6441
ATCG01060.1	246	202.118	0	0
ATCG01070.1	306	262.118	1	65.6183
ATCG01080.1	531	487.118	0	0
ATCG01090.1	519	475.118	0	0
ATCG01100.1	1083	1039.12	0	0
ATCG01110.1	1182	1138.12	0	0
ATCG01120.1	267	223.118	1	77.0881
ATCG01130.1	5361	5317.12	10	32.3479
ATCG01140.1	72	37.3128	0	0
ATCG01150.1	74	38.6548	0	0
ATCG01160.1	121	77.8247	3	663.019
ATCG01170.1	103	61.3242	30	8414.18
ATCG01180.1	2810	2766.12	5197	32315
ATCG01190.1	73	37.9801	0	0
ATCG01200.1	72	37.3128	0	0
ATCG01210.1	1491	1447.12	666.488	7921.56
ATCG01220.1	72	37.3128	0	0
ATCG01230.1	258	214.118	1.5	120.492
ATCG01240.1	468	424.118	0.5	20.2771
ATCG01250.1	1170	1126.12	0.5	7.63674
ATCG01260.1	81	43.5844	0	0
ATCG01270.1	234	190.118	0	0
ATCG01280.1	6885	6841.12	0.5	1.25709
ATCG01290.1	74	38.6548	0	0
ATCG01300.1	282	238.118	0.5	36.116
ATCG01310.1	825	781.118	10.5	231.204
AT5G01010.2	1619	1575.12	0	0
AT5G01015.1	516	472.118	0	0
AT5G01020.1	1799	1755.12	3	29.3993
AT5G01030.1	2728	2684.12	1	6.40797
AT5G01040.1	2052	2008.12	0	0
AT5G01050.1	1884	1840.12	0	0
AT5G01060.1	1500	1456.12	0	0
AT5G01070.2	621	577.118	0	0
AT5G01075.1	519	475.118	0	0
AT5G01080.1	555	511.118	0	0
AT5G01090.1	1495	1451.12	2	23.7055
AT5G01100.1	2364	2320.12	1	7.41331
AT5G01110.1	2608	2564.12	0	0
AT5G01120.1	1758	1714.12	0	0
AT5G01130.1	1686	1642.12	0	0
AT5G01140.1	1422	1378.12	0	0
AT5G01150.1	1674	1630.12	0	0
AT5G01160.1	1404	1360.12	0	0
AT5G01170.1	1975	1931.12	0	0
AT5G01175.1	528	484.118	0	0
AT5G01180.1	2055	2011.12	0	0
AT5G01185.1	4650	4606.12	0	0
AT5G01190.1	1821	1777.12	0	0
AT5G01200.1	1053	1009.12	0	0
AT5G01210.1	1802	1758.12	0	0
AT5G01215.1	1516	1472.12	0	0
AT5G01220.1	1956	1912.12	3	26.9854
AT5G01225.1	405	361.118	0	0
AT5G01230.1	1245	1201.12	0	0
AT5G01240.1	2017	1973.12	2	17.4341
AT5G01250.1	1478	1434.12	0	0
AT5G01260.2	1560	1516.12	0	0
AT5G01270.2	2790	2746.12	4	25.0532
AT5G01280.1	1557	1513.12	0	0
AT5G01290.1	2364	2320.12	0	0
AT5G01300.1	726	682.118	0	0
AT5G01310.1	2739	2695.12	0	0
AT5G01320.1	1994	1950.12	0	0
AT5G01330.1	2053	2009.12	0	0
AT5G01335.1	5457	5413.12	0	0
AT5G01340.1	1274	1230.12	0	0
AT5G01350.1	547	503.118	4	136.745
AT5G01360.1	1482	1438.12	0	0
AT5G01365.1	73	37.9801	0	0
AT5G01370.1	1501	1457.12	0	0
AT5G01380.1	1267	1223.12	0	0
AT5G01390.1	1344	1300.12	0	0
AT5G01400.1	4657	4613.12	2	7.45689
AT5G01410.1	1297	1253.12	16	219.609
AT5G01420.1	1416	1372.12	0	0
AT5G01430.1	980	936.118	0	0
AT5G01440.1	914	870.118	0	0
AT5G01445.1	533	489.118	0	0
AT5G01450.1	1904	1860.12	0	0
AT5G01460.1	2108	2064.12	1	8.33274
AT5G01470.2	763	719.118	1	23.9178
AT5G01480.1	1242	1198.12	0	0
AT5G01490.1	1472	1428.12	0	0
AT5G01500.1	1545	1501.12	0	0
AT5G01510.1	1861	1817.12	0	0
AT5G01520.1	1306	1262.12	0.999994	13.6276
AT5G01530.1	1222	1178.12	282	4117.02
AT5G01540.1	2494	2450.12	0	0
AT5G01542.1	2215	2171.12	2	15.8441
AT5G01550.1	2067	2023.12	0	0
AT5G01560.1	2393	2349.12	1	7.32179
AT5G01570.1	644	600.118	0	0
AT5G01580.1	702	658.118	0	0
AT5G01590.1	1965	1921.12	7	62.6709
AT5G01595.1	939	895.118	0	0
AT5G01600.1	1421	1377.12	0	0
AT5G01610.1	812	768.118	0	0
AT5G01620.3	1550	1506.12	1	11.4199
AT5G01630.1	3734	3690.12	0	0
AT5G01640.1	843	799.118	0	0
AT5G01650.2	667	623.118	0	0
AT5G01660.1	2244	2200.12	0	0
AT5G01670.2	1176	1132.12	1	15.1925
AT5G01680.1	2355	2311.12	0	0
AT5G01690.1	2238	2194.12	0	0
AT5G01700.2	1339	1295.12	0	0
AT5G01710.1	2123	2079.12	1.5	12.4089
AT5G01712.1	2123	2079.12	1.5	12.4089
AT5G01715.1	2170	2126.12	0	0
AT5G01720.1	2485	2441.12	0	0
AT5G01730.1	3700	3656.12	0	0
AT5G01732.1	3426	3382.12	1	5.0855
AT5G01734.1	153	109.168	0	0
AT5G01740.1	724	680.118	0	0
AT5G01747.1	149	105.19	0	0
AT5G01750.2	1140	1096.12	17	266.756
AT5G01760.1	1847	1803.12	0	0
AT5G01770.1	4448	4404.12	1	3.90538
AT5G01780.2	1486	1442.12	0	0
AT5G01790.1	800	756.118	0	0
AT5G01800.1	1078	1034.12	1	16.6323
AT5G01810.1	2102	2058.12	0.00093157	0.00778516
AT5G01820.1	1808	1764.12	2	19.4995
AT5G01830.1	2475	2431.12	0	0
AT5G01840.1	965	921.118	0	0
AT5G01849.1	132	88.4292	0	0
AT5G01850.1	1784	1740.12	0	0
AT5G01860.1	648	604.118	0	0
AT5G01870.1	550	506.118	0	0
AT5G01880.1	1355	1311.12	0	0
AT5G01881.1	429	385.118	0	0
AT5G01890.1	3499	3455.12	1	4.97805
AT5G01900.1	976	932.118	0	0
AT5G01910.1	842	798.118	1	21.5504
AT5G01920.1	3489	3445.12	5	24.9625
AT5G01930.1	1489	1445.12	0	0
AT5G01940.1	696	652.118	0	0
AT5G01950.1	3387	3343.12	3	15.4345
AT5G01960.1	1807	1763.12	1	9.7553
AT5G01970.1	1468	1424.12	0	0
AT5G01980.1	1868	1824.12	1	9.42908
AT5G01990.1	1749	1705.12	0	0
AT5G02000.1	441	397.118	0	0
AT5G02010.1	2133	2089.12	1	8.23302
AT5G02020.1	1101	1057.12	3	48.8113
AT5G02021.1	114	71.2511	0	0
AT5G02025.1	71	36.6528	0	0
AT5G02030.1	2017	1973.12	2	17.4341
AT5G02035.1	120	76.8758	0	0
AT5G02040.1	1296	1252.12	0	0
AT5G02050.1	1135	1091.12	1	15.7634
AT5G02060.1	840	796.118	0	0
AT5G02070.1	1974	1930.12	0	0
AT5G02080.1	813	769.118	0	0
AT5G02090.1	668	624.118	0	0
AT5G02100.1	1690	1646.12	0	0
AT5G02110.1	1204	1160.12	0	0
AT5G02120.1	526	482.118	3	107.026
AT5G02130.1	1426	1382.12	0	0
AT5G02140.1	885	841.118	0	0
AT5G02150.1	1176	1132.12	0	0
AT5G02160.1	829	785.118	23	503.866
AT5G02170.1	1830	1786.12	0	0
AT5G02180.1	2007	1963.12	0	0
AT5G02190.1	1687	1643.12	0	0
AT5G02200.2	708	664.118	0	0
AT5G02210.1	486	442.118	0	0
AT5G02220.1	440	396.118	0	0
AT5G02230.1	1103	1059.12	0	0
AT5G02240.1	1014	970.118	7	124.107
AT5G02244.1	324	280.118	0	0
AT5G02250.1	2911	2867.12	1	5.99897
AT5G02260.1	1249	1205.12	0	0
AT5G02270.2	1223	1179.12	0	0
AT5G02280.1	661	617.118	1	27.8711
AT5G02290.1	1605	1561.12	5.45049e-05	0.000600513
AT5G02310.1	6252	6208.12	4	11.0821
AT5G02320.1	2056	2012.12	0	0
AT5G02330.1	1971	1927.12	0	0
AT5G02340.1	1896	1852.12	0	0
AT5G02350.1	1956	1912.12	0	0
AT5G02360.1	1029	985.118	0	0
AT5G02370.1	2417	2373.12	1.13872	8.25313
AT5G02380.1	571	527.118	39.8613	1300.67
AT5G02385.1	73	37.9801	0	0
AT5G02390.1	2635	2591.12	0	0
AT5G02400.1	2025	1981.12	0	0
AT5G02410.1	1759	1715.12	0	0
AT5G02420.1	688	644.118	0	0
AT5G02430.1	2718	2674.12	0	0
AT5G02435.1	74	38.6548	0	0
AT5G02440.1	782	738.118	0	0
AT5G02450.1	684	640.118	7	188.088
AT5G02460.1	1554	1510.12	0	0
AT5G02470.1	1146	1102.12	0	0
AT5G02480.1	2350	2306.12	2	14.9166
AT5G02490.1	2305	2261.12	2	15.2135
AT5G02500.1	2374	2330.12	89	656.953
AT5G02502.1	521	477.118	0	0
AT5G02505.1	72	37.3128	0	0
AT5G02510.1	540	496.118	0	0
AT5G02520.1	2099	2055.12	0	0
AT5G02530.1	1213	1169.12	0	0
AT5G02540.1	1281	1237.12	0	0
AT5G02550.1	505	461.118	0	0
AT5G02560.2	738	694.118	0	0
AT5G02570.1	399	355.118	0	0
AT5G02580.1	722	678.118	0	0
AT5G02590.1	1094	1050.12	0	0
AT5G02600.2	1335	1291.12	0	0
AT5G02610.2	797	753.118	0	0
AT5G02615.1	74	38.6548	0	0
AT5G02620.1	1855	1811.12	1	9.49676
AT5G02630.1	1417	1373.12	2	25.0521
AT5G02640.1	689	645.118	0	0
AT5G02650.1	988	944.118	0	0
AT5G02660.1	2077	2033.12	0	0
AT5G02670.1	1368	1324.12	1	12.9896
AT5G02680.1	983	939.118	0	0
AT5G02690.1	360	316.118	0	0
AT5G02700.1	1371	1327.12	0	0
AT5G02710.1	1025	981.118	0	0
AT5G02720.1	417	373.118	0	0
AT5G02725.1	82	44.3181	0	0
AT5G02730.1	618	574.118	0	0
AT5G02740.1	1123	1079.12	0	0
AT5G02750.1	1086	1042.12	0	0
AT5G02760.1	1543	1499.12	0	0
AT5G02770.1	1707	1663.12	0	0
AT5G02780.1	993	949.118	0	0
AT5G02790.1	1056	1012.12	8	135.951
AT5G02800.1	1583	1539.12	0	0
AT5G02810.1	2831	2787.12	4	24.6846
AT5G02811.1	150	106.184	0	0
AT5G02815.1	82	44.3181	0	0
AT5G02820.1	1655	1611.12	0	0
AT5G02830.1	2783	2739.12	1	6.2793
AT5G02840.1	1413	1369.12	0	0
AT5G02850.1	1564	1520.12	0	0
AT5G02860.1	2460	2416.12	1	7.11876
AT5G02870.1	1475	1431.12	13.6972	164.618
AT5G02880.1	4923	4879.12	4	14.1007
AT5G02890.1	1221	1177.12	0	0
AT5G02900.1	1443	1399.12	0	0
AT5G02910.1	1546	1502.12	1	11.4503
AT5G02920.1	1118	1074.12	0	0
AT5G02930.1	1410	1366.12	0	0
AT5G02940.1	2667	2623.12	10	65.5699
AT5G02950.1	2229	2185.12	0	0
AT5G02960.1	749	705.118	13	317.105
AT5G02970.1	2009	1965.12	1	8.75253
AT5G02980.1	1008	964.118	0	0
AT5G02990.1	1647	1603.12	0	0
AT5G03000.1	1065	1021.12	0	0
AT5G03010.1	955	911.118	0	0
AT5G03020.1	1140	1096.12	0	0
AT5G03030.1	690	646.118	0	0
AT5G03040.1	1911	1867.12	0.000846473	0.00779765
AT5G03050.1	802	758.118	0	0
AT5G03060.1	1018	974.118	0	0
AT5G03070.1	1968	1924.12	1	8.93903
AT5G03080.1	1165	1121.12	1	15.3416
AT5G03090.1	294	250.118	0	0
AT5G03100.1	1558	1514.12	0	0
AT5G03110.1	1157	1113.12	1	15.4519
AT5G03120.1	574	530.118	0	0
AT5G03130.1	415	371.118	0	0
AT5G03140.1	2427	2383.12	2	14.4347
AT5G03150.1	2046	2002.12	0	0
AT5G03160.1	1760	1716.12	1	10.0225
AT5G03170.1	908	864.118	0	0
AT5G03180.2	1669	1625.12	0	0
AT5G03190.2	1827	1783.12	0	0
AT5G03200.1	1281	1237.12	0	0
AT5G03204.1	111	68.4893	0	0
AT5G03210.1	535	491.118	0	0
AT5G03220.1	736	692.118	0	0
AT5G03230.1	872	828.118	0	0
AT5G03240.1	1237	1193.12	21.8651	315.203
AT5G03250.1	2162	2118.12	0	0
AT5G03260.1	1937	1893.12	1	9.08541
AT5G03270.1	690	646.118	0	0
AT5G03280.1	4803	4759.12	3	10.8422
AT5G03285.1	204	160.118	0	0
AT5G03290.1	1437	1393.12	4	49.3849
AT5G03300.1	1348	1304.12	7	92.3216
AT5G03310.1	483	439.118	0	0
AT5G03320.1	1716	1672.12	0	0
AT5G03330.1	1537	1493.12	0	0
AT5G03340.1	2671	2627.12	1	6.547
AT5G03345.1	567	523.118	0	0
AT5G03350.1	985	941.118	1	18.2759
AT5G03360.1	4923	4879.12	0	0
AT5G03370.1	764	720.118	0	0
AT5G03377.1	523	479.118	0	0
